Actual_1,Actual_2,Actual_3,Actual_4,Actual_5,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5
4.252,5.585,28.935,12.071,16.865,5.10361025278356,6.40151273042834,28.6566674929192,12.502388249946,16.0215984860372
4.442,5.664,26.886,10.423,16.462,5.10271363828177,6.40071359394291,28.6554188558829,12.5005739782044,16.0193443308939
5.428,6.928,29.213,14.856,14.356,5.10195472505631,6.40000181301431,28.6542123351538,12.4989367701492,16.0174353574439
4.317,5.309,24.604,10.612,13.992,4.95872652290237,6.603349007372,29.2976621465617,13.4031473090969,15.4664471747503
5.061,6.529,29.292,13.338,15.954,4.94445504256709,6.51114207801393,29.0570971724481,13.0887495434628,15.4705099231139
4.047,5.047,23.099,9.117,13.982,4.45695339137718,5.70629537723887,24.9006320955896,11.5223545827657,13.5966043134846
4.296,5.735,27.909,14.507,13.402,5.01601787982135,6.04844459887965,27.3486423089786,11.5356327285011,15.7870119511666
4.706,6.136,27.858,11.558,16.3,5.03296615352946,6.10621251428273,27.5747744544162,11.6871335894452,15.8380999732478
5.077,6.45,29.005,12.618,16.388,5.05057242818432,6.15773624390913,27.761573397628,11.8234948379342,15.8868280787604
4.506,5.695,25.707,9.887,15.82,4.4804535001874,5.67560557283491,25.0585011222782,11.2955675418688,13.7730934323771
4.761,5.803,25.066,10.824,14.242,4.49511207016643,5.73796428019365,25.223064380972,11.5010292721603,13.7877350442877
5.561,6.807,28.956,13.056,15.9,4.48822335607791,5.73877027015016,25.1713275246329,11.5301787429311,13.7461426098223
4.742,5.915,26.665,12.601,14.064,4.54462874346254,5.80083274504556,25.4636721540986,11.6564085152002,13.9414811887346
4.864,6.344,27.857,11.205,16.651,4.67543245046477,5.96688995089571,26.3304474643818,11.9583322971154,14.4291711058896
6.48,8.296,35.502,18.892,16.61,5.57588551687121,8.34092662307045,34.7273068068685,18.3788413364175,16.8707757046231
3.936,4.971,22.736,9.606,13.13,4.28776850010163,5.47182004300391,23.8388820654814,10.9463554207537,13.0239158965024
5.007,6.013,25.309,11.77,13.539,4.41807977599742,5.53935432087355,24.4594214179678,10.9071283088442,13.5661979882548
4.133,5.202,24.117,11.084,13.033,4.2840215137153,5.46952776686158,23.8183688978053,10.954626665188,13.0058983596043
5.177,6.337,26.83,10.833,15.997,5.00093971317835,6.04197702376893,27.3599224891738,11.5214024147712,15.7506093870927
4.746,5.719,25.865,10.565,15.3,4.5135879768305,5.58826191662153,24.9191631021487,10.8896350164785,13.9632442138723
5.016,6.19,27.16,11.631,15.53,5.02552542593601,6.13062908778359,27.7002560720262,11.7590705883209,15.8218793275471
5.274,6.357,27.608,11.603,16.004,5.0634787554519,6.1986883664811,27.9155906040916,11.9290488155658,15.9242014945219
4.252,5.585,28.935,12.071,16.865,4.42754982752457,5.5983998580867,25.6110316272923,11.2638072509811,13.9397701289551
4.442,5.664,26.886,10.423,16.462,4.43673569245519,5.65021091996887,25.7728477041839,11.3542420445247,13.874812783671
4.317,5.309,24.604,10.612,13.992,4.36326847155151,5.65636067284083,25.239507521829,10.6277914466538,13.6850433991922
4.489,5.518,25.57,10.429,14.141,4.85059237483699,5.57455554110586,25.1551616806467,11.494361582768,15.1950964262386
5.061,6.529,29.292,13.338,15.954,5.59153006437915,6.34369096533817,26.4428532643961,12.2462469331977,16.8064968127226
4.372,5.399,23.959,12.019,11.94,4.31996297698086,5.72441924032998,24.8682817386126,10.0502141420036,13.431816727837
4.681,5.705,23.789,10.131,13.658,4.73001772632611,5.50459060575846,24.9358341174145,11.3107542443395,14.9024540221935
4.296,5.735,27.909,14.507,13.402,4.56505988541517,5.7011450502841,26.40986096649,12.0709622939622,14.1489397818681
4.706,6.136,27.858,11.558,16.3,4.55948904654764,5.70059918713387,26.3942249930757,12.0555184633679,14.1320510486501
5.077,6.45,29.005,12.618,16.388,5.67967239313096,6.58123496576918,27.2939986538194,12.6229404212616,16.8761422374267
5.561,6.807,28.956,13.056,15.9,5.56706623449987,6.53898616908044,27.6101561928342,12.6120631184907,16.5701757337963
6.48,8.296,35.502,18.892,16.61,5.52401173232765,6.51541350726649,27.6801117686348,12.5869575632389,16.4608856994112
3.936,4.971,22.736,9.606,13.13,4.56258876134259,5.70083586935413,26.4021956765799,12.0627986389094,14.1417391212061
4.278,5.611,27.583,15.535,12.048,4.56073613753041,5.7006731987149,26.3972482670882,12.058138401843,14.1360253959231
5.007,6.013,25.309,11.77,13.539,4.60148042641028,5.70924793473444,26.4784225869014,12.0756684792476,14.2701691096138
4.133,5.202,24.117,11.084,13.033,4.56322818926312,5.70094000390124,26.40427823103,12.0650222012674,14.1435362583871
4.389,5.409,24.965,10.593,14.372,4.57409648067225,5.70127459501148,26.4157359489472,12.0560084443648,14.1840305452371
5.177,6.337,26.83,10.833,15.997,5.59922424829292,6.55458543213161,27.5449237721964,12.6260982051383,16.6536997366806
4.746,5.719,25.865,10.565,15.3,4.47036620973618,5.71193207396754,26.0368173773675,11.5566405573649,13.8621369803082
5.016,6.19,27.16,11.631,15.53,5.57320206084702,6.5392862830538,27.56016970707,12.5651815238054,16.5950215726475
5.274,6.357,27.608,11.603,16.004,5.52767379718151,6.51768496136543,27.6762464879503,12.5920936123798,16.4696438738601
5.428,6.928,29.213,14.856,14.356,4.58990051419367,6.20182284572178,26.1518501371219,11.2574153881899,14.5751843819121
4.489,5.518,25.57,10.429,14.141,4.58952833495276,6.16277401314719,26.2130331368994,11.3850795449971,14.5176814177088
5.061,6.529,29.292,13.338,15.954,4.59014130697307,6.16639616495023,26.2131641342818,11.3752967010584,14.5281605584883
4.047,5.047,23.099,9.117,13.982,4.59196732162086,6.12381022097457,26.2995960867413,11.5263988492779,14.4795905309115
4.372,5.399,23.959,12.019,11.94,4.5930325329782,6.11831620140347,26.3136806138901,11.5544158411224,14.4704732991714
4.681,5.705,23.789,10.131,13.658,4.61542167097646,6.35194415790088,26.0236682355249,11.0330433804487,14.7015136364939
4.706,6.136,27.858,11.558,16.3,4.59237384790147,6.22607360066486,26.1347560983352,11.1996798230896,14.6139645858152
5.077,6.45,29.005,12.618,16.388,4.59292270247871,6.23520366802741,26.1234784161171,11.1758262869461,14.6252238242638
4.506,5.695,25.707,9.887,15.82,4.64025968461187,6.73659985166579,25.534859848323,10.1225818719709,15.0694822080575
4.761,5.803,25.066,10.824,14.242,4.63502266955047,6.61516055431502,25.6988164592835,10.4342204736696,14.9463940700301
4.742,5.915,26.665,12.601,14.064,4.59205599566002,6.12364556640237,26.2996170865903,11.5290861475264,14.4771945721959
4.864,6.344,27.857,11.205,16.651,4.59190708920938,6.12485847504146,26.2979763361393,11.5216216838311,14.482300952024
6.48,8.296,35.502,18.892,16.61,4.59492228163965,6.13700981836418,26.2873894516129,11.514403871584,14.4853334529118
3.936,4.971,22.736,9.606,13.13,4.59916371266258,6.48341264562554,25.6943818409435,10.4695065449082,14.862366203977
4.278,5.611,27.583,15.535,12.048,4.59911929959143,6.4829352208472,25.6949603718759,10.4705543735462,14.8619029846395
5.007,6.013,25.309,11.77,13.539,4.59907546868832,6.48247985402628,25.6955053445065,10.4715408524773,14.8614625179207
4.133,5.202,24.117,11.084,13.033,4.60638067550524,6.5946420862354,25.5403013450847,10.2022035898705,14.9641714560004
4.389,5.409,24.965,10.593,14.372,4.61066680468285,6.63561974611845,25.4954058687559,10.1192873251542,15.0016049613668
4.746,5.719,25.865,10.565,15.3,4.59806004954094,6.15576920284354,26.2760105149212,11.4970877924171,14.491699647714
5.016,6.19,27.16,11.631,15.53,4.59684073269545,6.1469383435557,26.2843550321223,11.511931149692,14.4845351963181
5.274,6.357,27.608,11.603,16.004,4.59228080317936,6.120104931859,26.3069041649742,11.5441220932831,14.4707814236627
4.252,5.585,28.935,12.071,16.865,4.70307259071607,6.05971280227806,27.3823470188892,12.2385001209361,15.16122373446
4.442,5.664,26.886,10.423,16.462,4.57377092884136,5.90951006459609,25.8456620317793,11.8999921836021,14.7421817714295
5.428,6.928,29.213,14.856,14.356,5.34489389018454,7.69392764031606,31.8408808083012,14.2535590088358,16.3918703441453
4.317,5.309,24.604,10.612,13.992,4.52417149042781,5.8706047795585,25.4249927749147,11.8160158913008,14.6445193925071
4.489,5.518,25.57,10.429,14.141,4.50803686739007,5.85959640714438,25.2184362113952,11.7788696173133,14.5894797426187
4.047,5.047,23.099,9.117,13.982,4.50288318948383,5.85629443737425,25.0626628209086,11.7526190113843,14.541778759614
4.372,5.399,23.959,12.019,11.94,4.53946273957495,5.88152108500807,25.590813910924,11.8469802740418,14.6872780891257
4.681,5.705,23.789,10.131,13.658,4.59540606361857,5.93627513227547,26.0101085845538,11.9432259084146,14.7818471888077
4.296,5.735,27.909,14.507,13.402,4.49659595197323,5.8521274480042,25.0494080656497,11.7491696072453,14.5429012106337
4.506,5.695,25.707,9.887,15.82,4.58364607616957,5.95529036443397,25.1660064895443,11.8322148427709,14.524900710535
4.761,5.803,25.066,10.824,14.242,4.59745700669314,5.9384291756262,26.0117305502613,11.944645821266,14.7806826052072
5.561,6.807,28.956,13.056,15.9,4.7461981665787,6.16972451106156,26.2553288782451,12.1485386184926,14.7854191781541
4.742,5.915,26.665,12.601,14.064,4.67153510063916,6.06674952016639,25.7420888613194,11.9970275308065,14.6608816694223
