Actual_1,Actual_2,Actual_3,Actual_4,Actual_5,Predicted_1,Predicted_2,Predicted_3,Predicted_4,Predicted_5
4.252,5.585,28.935,12.071,16.865,4.99238615145376,6.35471626238261,28.0370786253878,12.3108006669848,15.4374794805572
4.442,5.664,26.886,10.423,16.462,5.00900820232878,6.38233130019463,28.3236887705225,12.4301856767139,15.5912302918878
5.428,6.928,29.213,14.856,14.356,5.01516988952494,6.36599505306027,28.6939327702898,12.5430715324654,15.6225048179316
4.317,5.309,24.604,10.612,13.992,4.69195090889135,5.81554967040644,26.1803699172718,11.1304361525359,14.1680027837549
5.061,6.529,29.292,13.338,15.954,4.98899632201931,6.36690043561081,27.7967332787874,12.2419470442619,15.4253326424814
4.047,5.047,23.099,9.117,13.982,4.64208690135226,5.72769387092736,25.9430468869947,10.9356991239319,13.9511380145395
4.372,5.399,23.959,12.019,11.94,4.59766559519345,5.61282531872828,25.607454991858,10.8026735684308,13.7035571146939
4.681,5.705,23.789,10.131,13.658,4.67742437449052,5.78363244059133,25.9559233254806,11.0588102851779,14.0694939907521
4.296,5.735,27.909,14.507,13.402,5.01622293696465,6.37213341654088,28.8844037852264,12.6065759686965,15.7702646860456
4.506,5.695,25.707,9.887,15.82,5.00155609237302,6.35508465273605,28.8465688155848,12.5575615991959,15.7657155632481
4.761,5.803,25.066,10.824,14.242,5.00998104169898,6.3440338057372,28.8992988713125,12.5879536968537,15.6471115792827
5.561,6.807,28.956,13.056,15.9,5.01196216849571,6.34809591872874,28.8832554153392,12.5871955768401,15.6417537634563
4.864,6.344,27.857,11.205,16.651,5.00982876426421,6.34413510840597,28.896432292499,12.5865400634689,15.6466215478262
6.48,8.296,35.502,18.892,16.61,5.01007170788061,6.34474254741971,28.891012264606,12.5852820138213,15.644106650447
3.936,4.971,22.736,9.606,13.13,4.5678999904428,4.97117209152534,28.5605540724444,11.82691869453,12.7928031562414
4.278,5.611,27.583,15.535,12.048,5.16594780573952,6.31288943095859,29.3160589941576,13.2673818580299,15.0426829149074
5.007,6.013,25.309,11.77,13.539,5.052462317136,6.41165100853999,27.6134084326088,12.4227101323542,15.2981925974064
4.133,5.202,24.117,11.084,13.033,4.85687621746585,5.96024289767843,29.1194074282093,12.3408509289875,15.0961256507434
4.389,5.409,24.965,10.593,14.372,4.89722404694183,5.94845589619268,29.2145954976115,12.5306117355694,14.9569688829257
5.177,6.337,26.83,10.833,15.997,5.05542125250676,6.41447553495218,27.6657864686722,12.4420940872332,15.3104916000516
4.746,5.719,25.865,10.565,15.3,4.92754015931536,6.16038867276822,28.9847945961627,12.4397505911654,15.4427877365721
5.274,6.357,27.608,11.603,16.004,5.04879871398528,6.39802429316482,28.5531024661995,12.6127403806378,15.5437785560765
4.442,5.664,26.886,10.423,16.462,4.6495332211116,6.03573603040702,27.1867573440872,11.1633592293344,15.9745675519781
5.428,6.928,29.213,14.856,14.356,4.67640753384564,6.26061949971241,27.1683872265658,12.0533050535904,17.236032255201
4.317,5.309,24.604,10.612,13.992,4.61506653830877,5.92859044165307,27.1773016210338,11.7098813899444,14.9705592401683
4.489,5.518,25.57,10.429,14.141,4.41841256637705,5.58484205167895,25.6769056517249,10.2403253357392,14.6150907191316
5.061,6.529,29.292,13.338,15.954,4.68825903806645,5.91421867018411,26.2920192194773,11.3836669426599,15.3170485827432
4.047,5.047,23.099,9.117,13.982,4.51859857667761,5.51613144837962,24.4839623053658,10.4937574742134,14.0964021233176
4.372,5.399,23.959,12.019,11.94,4.78255570868545,5.68607533884563,24.7307580060331,10.9796145719201,14.0170815796135
4.681,5.705,23.789,10.131,13.658,4.52793088302299,5.46523313440394,24.1890916541912,10.4720183308155,13.8164118049329
4.296,5.735,27.909,14.507,13.402,4.70534432734032,6.1105895715497,27.8147907113667,14.3206595138759,14.4735549194349
4.706,6.136,27.858,11.558,16.3,4.61263181947112,5.94093425783299,27.0641853823819,11.1745429714927,15.417281941045
5.077,6.45,29.005,12.618,16.388,4.84808651144776,6.25211284992665,27.2580576656367,11.9179205682214,16.5334244774956
4.506,5.695,25.707,9.887,15.82,4.34821877358475,5.50094138849469,25.2278472674615,10.1261804175362,14.4996374071369
4.761,5.803,25.066,10.824,14.242,4.42110993354522,5.45275659137605,24.3903795670467,10.297113397107,14.1266669084423
5.561,6.807,28.956,13.056,15.9,4.52199116196935,5.48171995554596,24.4704514625426,10.4365773674653,13.8653618565838
4.742,5.915,26.665,12.601,14.064,4.92846587305639,5.83951698490959,25.0846327755296,11.3033962993528,14.2938155819887
4.864,6.344,27.857,11.205,16.651,5.03255196690339,5.93752037893478,25.2776631911885,11.5236256162314,14.4355638949507
5.007,6.013,25.309,11.77,13.539,5.67051722784111,6.29172211166659,26.0600565242795,11.4236127456587,14.1104328014045
4.389,5.409,24.965,10.593,14.372,5.133418074724,6.15175235914038,25.8980541006767,11.8814792141256,15.2079464327143
5.177,6.337,26.83,10.833,15.997,5.05043840388811,6.18130953162278,26.726489950904,10.7084316805906,15.7478228407068
4.746,5.719,25.865,10.565,15.3,5.07547175800233,6.00754524898313,25.4656997596313,11.6493386921677,14.6516423564958
5.016,6.19,27.16,11.631,15.53,5.14516459443074,6.11732373642191,25.7538701890481,11.8532115532457,14.9814714477647
4.252,5.585,28.935,12.071,16.865,4.72414144154674,5.7899933934644,24.9850303522236,10.7017445026271,14.6555472774546
4.442,5.664,26.886,10.423,16.462,4.74433973657742,5.9102519605995,26.2321501525236,11.6184934396234,14.7959972362348
4.317,5.309,24.604,10.612,13.992,4.71393600383411,5.73495733004246,24.4013438355462,10.2698221552726,14.5933801781729
4.489,5.518,25.57,10.429,14.141,4.74476307032419,5.91274424327647,26.2580334067207,11.6375129950195,14.7989147828529
4.047,5.047,23.099,9.117,13.982,4.74319400298387,5.90351104077689,26.1621337257941,11.5670348177234,14.7881136270169
4.372,5.399,23.959,12.019,11.94,4.74491031649819,5.91361129112085,26.2670378050565,11.6441303232703,14.7999291259191
4.296,5.735,27.909,14.507,13.402,4.75272879809962,5.90195844328138,27.1984405414363,12.3655587720011,14.7181721286378
4.706,6.136,27.858,11.558,16.3,4.7513931321844,5.96413985247396,26.7847993360839,12.014185322894,14.8662653238509
5.077,6.45,29.005,12.618,16.388,4.74723847122407,5.94661862109357,26.592212400874,11.8567356749681,14.8606294074984
4.506,5.695,25.707,9.887,15.82,4.68417390500801,5.54966120781484,22.5020897958147,8.87242084599462,14.3779327364171
4.761,5.803,25.066,10.824,14.242,4.74442317582164,5.91074297648094,26.2372496185311,11.6222347080168,14.796577251606
5.561,6.807,28.956,13.056,15.9,4.75549273562233,5.97532299156382,26.9116900705433,12.1166689569991,14.8729407066348
4.742,5.915,26.665,12.601,14.064,4.69829248324241,5.64838739259032,23.4858499607533,9.59200320739841,14.4959879885383
4.864,6.344,27.857,11.205,16.651,4.7452009400851,5.91532289722189,26.2848127980083,11.6571980021935,14.8019271674015
6.48,8.296,35.502,18.892,16.61,4.75747295177937,5.98686148002823,27.0326521383707,12.2052427670669,14.8866566298407
3.936,4.971,22.736,9.606,13.13,4.35240543366934,5.23077979186348,23.1594444584363,10.2027236976487,12.9361678998099
4.278,5.611,27.583,15.535,12.048,4.60542547107252,5.89291985089617,26.3461349086015,11.5391436185513,14.7895599237044
4.133,5.202,24.117,11.084,13.033,4.34384468040656,5.21846283510497,23.0766633082341,10.1649819853197,12.8967406366732
5.177,6.337,26.83,10.833,15.997,4.75113789362188,5.83577524982058,26.1552165747748,11.3817540140522,14.8413624955381
5.016,6.19,27.16,11.631,15.53,4.64842513641308,6.12261246329592,27.2146536601281,11.8017804731031,15.4444669588116
5.274,6.357,27.608,11.603,16.004,4.74136267039384,5.79978565690994,25.6173499862079,11.026105866962,14.7680382136316
4.252,5.585,28.935,12.071,16.865,4.83857455884443,6.07828787853298,27.9657529519603,12.6201572812059,14.8657500713505
5.428,6.928,29.213,14.856,14.356,4.86716738519152,6.09892053285383,28.2156067321478,12.698292115004,14.8947345612135
4.317,5.309,24.604,10.612,13.992,4.69044505865056,5.93657963572918,26.7203664835309,12.1648267255469,14.6494401231321
4.489,5.518,25.57,10.429,14.141,4.69554124968639,5.94109466871733,26.7648007804479,12.1789405849209,14.6571668000186
5.061,6.529,29.292,13.338,15.954,4.78216991872558,6.00211083763822,27.5313206494628,12.406087714206,14.7491210602649
4.047,5.047,23.099,9.117,13.982,4.68026108980548,5.92654236441716,26.6336249728215,12.1345814802143,14.6326069236407
4.681,5.705,23.789,10.131,13.658,4.44809140937429,5.80564007162385,26.6236624538913,12.384611744385,13.6767069520652
4.296,5.735,27.909,14.507,13.402,4.93584397683135,6.12430820460423,28.3901846573031,13.2670005903831,14.5260823021384
4.706,6.136,27.858,11.558,16.3,4.94840537820429,6.14252492646002,28.493696057067,13.3082991217406,14.5621603962133
5.077,6.45,29.005,12.618,16.388,5.06748142331326,6.29318385200691,29.5373601742643,13.6152750859954,14.9120065497928
5.561,6.807,28.956,13.056,15.9,5.21669761067303,6.49697530234821,30.7982882473914,14.105915424061,15.2991791943167
4.742,5.915,26.665,12.601,14.064,4.74704034819927,5.99044087712432,27.2026513657656,12.3323857669729,14.7372091899678
6.48,8.296,35.502,18.892,16.61,4.78318162258711,6.70697285238078,30.9571708086585,14.7554529527811,14.7600455426855
3.936,4.971,22.736,9.606,13.13,4.56885674151157,5.53958253999664,25.5093939352525,11.8664499933427,13.4836086781875
4.278,5.611,27.583,15.535,12.048,4.56558568677353,5.53226951423424,25.4836343654655,11.851445983376,13.4698335643582
5.007,6.013,25.309,11.77,13.539,4.67176260148157,5.64454959687617,26.2285380063065,12.2672615622002,13.5756902436254
4.133,5.202,24.117,11.084,13.033,4.61915641868495,5.61637130619381,25.9069064082181,12.0553329386966,13.6184274514461
4.389,5.409,24.965,10.593,14.372,4.5999230203233,5.57316996247104,25.7523504746469,11.9702126993175,13.5338449718178
5.177,6.337,26.83,10.833,15.997,5.10370481651404,6.13561849743454,29.5404626105582,13.8651727719999,14.2058517728243
4.746,5.719,25.865,10.565,15.3,5.17008290982158,6.50777791166321,30.2635113240275,14.1350693389778,15.2493685649962
5.016,6.19,27.16,11.631,15.53,5.03060274225582,6.21423726220942,29.0718478652805,13.6031359265738,14.6201069450494
5.274,6.357,27.608,11.603,16.004,5.38157226159576,6.30546846426048,31.7545146291798,14.9822934625988,14.0448906295572
4.252,5.585,28.935,12.071,16.865,4.83935116896536,6.08602829840259,28.6911895584622,12.0181544565825,16.5062495597117
4.442,5.664,26.886,10.423,16.462,4.76357151119657,5.87492842632697,27.0644476373807,10.9101562469413,15.8381842914506
5.428,6.928,29.213,14.856,14.356,5.31909336501696,6.81588510204232,30.0533017234568,14.2628488538517,15.5912704172872
4.489,5.518,25.57,10.429,14.141,4.33555703511125,5.52306017128257,25.6371063358616,10.3992429999988,14.770058704537
5.061,6.529,29.292,13.338,15.954,4.85723182846114,6.40250045330357,29.3261727876507,13.3020934891853,15.7044720191739
4.372,5.399,23.959,12.019,11.94,4.42105208945607,5.57624600348883,25.8537330371004,10.3444810959321,15.0827789619348
4.681,5.705,23.789,10.131,13.658,5.23844267705604,7.02500764587552,31.474877319308,14.9532619513599,16.3382584446578
4.706,6.136,27.858,11.558,16.3,4.87842672537446,6.06017914916738,28.0427073059673,11.8911947100842,15.882811084492
5.077,6.45,29.005,12.618,16.388,5.50090651777441,6.91575622648095,29.1398673183944,13.0115741586249,16.0741514107705
4.506,5.695,25.707,9.887,15.82,4.49294786103382,5.54075028528106,25.7797440951226,9.86025076284806,15.8314473185515
4.761,5.803,25.066,10.824,14.242,5.10692404211558,6.51161658907828,30.0575110201878,12.997868158607,16.9729533678484
4.742,5.915,26.665,12.601,14.064,4.08826135475752,5.43949004017942,24.8013732399109,11.1096677982681,13.7079038558385
4.864,6.344,27.857,11.205,16.651,4.8680240328615,6.16473206232505,27.9122254825179,11.23258699248,16.663427858535
6.48,8.296,35.502,18.892,16.61,6.00417265430966,8.12770061812405,35.5247462557179,18.9562698707168,17.0351461218981
3.936,4.971,22.736,9.606,13.13,3.8840908807228,4.78091581303418,22.7926143345237,9.59658208423526,13.2464621457185
4.278,5.611,27.583,15.535,12.048,4.34844577112847,5.70213446892114,27.5561742964331,15.5460193404375,12.0341165485599
5.007,6.013,25.309,11.77,13.539,4.8708484868603,5.85050348860506,25.4313286723616,11.6752019022999,13.8600975067608
4.133,5.202,24.117,11.084,13.033,3.92017283092074,5.29039757153632,24.092680412616,11.0790885106527,13.0357250486183
4.389,5.409,24.965,10.593,14.372,4.19645448183702,5.56108418683173,24.7658011372925,11.3064157450532,13.6404380142792
4.746,5.719,25.865,10.565,15.3,4.64632083555446,5.79226591718865,25.8266751774822,10.6480989334638,15.218800275936
5.016,6.19,27.16,11.631,15.53,4.9086295540123,6.17887210811053,27.1738117741968,11.6268630563794,15.6611433011579
5.274,6.357,27.608,11.603,16.004,5.76166282859194,7.39015462628517,31.4737700462341,14.1310035314549,17.7607508558041
